parameter,type,setting,minimum,maximum
collectivism-dim,numeric,0.5,0,1
current-seed,numeric,1.191355575E9,1.191355575E9,1.191355575E9
dynamic-cs?,boolean,False,true,false
error?,boolean,False,true,false
fixed-seed?,boolean,False,true,false
food-outlet-interaction?,boolean,True,true,false
food-outlet-service-area,numeric,60.0,20,60
friendships?,boolean,False,true,false
initial-nr-food-outlets,numeric,15.0,4,30
initial-nr-households,numeric,4000.0,4000,5000
lower-margin,numeric,0.18,0,1
max-cs-fish,numeric,0.5,0,1
max-cs-meat,numeric,0.75,0,1
max-cs-vegan,numeric,0.08,0,1
max-cs-veget,numeric,0.56,0,1
meal-evaluation,integer,2,0,2
meal-quality-variance,numeric,0.25,0,0.25
meal-selection,integer,2,0,8
mean-family-size,numeric,2.0,0,10
no-sales-threshold,numeric,120.0,0,365
nr-friends,numeric,2.0,2,10
p-fi,numeric,0.02,0,1
p-me,numeric,0.9,0,1
p-vn,numeric,0.06,0,1
p-vt,numeric,0.06,0,1
power-distance-dim,numeric,0.5,0,1
price-influence?,boolean,True,true,false
restocking?,boolean,False,true,false
sd-family-size,numeric,1.0,0,2
shops-sustainable?,boolean,False,true,false
status-increment,numeric,0.01,0,0.1
stock-multiplication-factor,numeric,4.0,1,10
upper-margin,numeric,0.26,0,1
